,场外代码,基金简称,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费,场内代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,换手率,流通市值,总市值,溢价率%,买入确认日,卖出确认日,jjfl_url
0,160529,博时创业板两年定开混合,1.0201,07-15,暂停申购,暂停赎回,2026-09-28,10.0,100000000000.0,0.15,160529,创业板博时定开,0.968,0.013,1.36,382.0,36490.355,0.956,0.974,0.936,0.955,0.1,35797912,35797912,-5.107342417410061,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160529.html
1,501065,汇添富经典成长定开混合,1.1135,07-15,暂停申购,暂停赎回,2028-01-03,10.0,100000000000.0,0.15,501065,经典成长,1.051,0.001,0.1,446.0,47063.0,1.05,1.058,1.05,1.05,0.34,13612132,13612132,-5.612932195779075,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501065.html
2,160143,南方创业板2年定期开放混合,0.9893,07-15,暂停申购,暂停赎回,2026-09-01,10.0,100000000000.0,0.15,160143,创业板定开南方,0.933,-0.003,-0.32,1067.0,98981.5,0.916,0.944,0.916,0.936,0.41,24356683,24356683,-5.690892550288073,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160143.html
3,160726,嘉实瑞享定期混合,0.9792,07-15,暂停申购,暂停赎回,2026-09-14,10.0,100000000000.0,0.15,160726,嘉实瑞享定开,0.922,-0.001,-0.11,1892.0,175064.8,0.929,0.929,0.922,0.923,0.48,36003792,36003792,-5.841503267973848,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160726.html
4,161040,富国创业板两年定开混合,1.2833,07-15,暂停申购,暂停赎回,2026-08-10,10.0,100000000000.0,0.15,161040,创业富国定开,1.208,0.021,1.77,6738.0,813994.6,1.192,1.215,1.192,1.187,1.03,79365598,79365598,-5.867684874931827,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161040.html
5,166027,中欧创业板两年定开混合A,0.8611,07-15,暂停申购,暂停赎回,2026-07-16,10.0,100000000000.0,0.15,166027,中欧创业定开,0.81,-0.001,-0.12,882.0,71391.1,0.809,0.81,0.809,0.811,0.12,60731186,60731186,-5.934270119614437,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166027.html
6,166024,中欧恒利三年定期开放混合,1.0396,07-15,暂停申购,暂停赎回,2026-12-01,10.0,100000000000.0,0.15,166024,中欧恒利定开,0.975,0.005,0.52,2208.0,214886.397,0.97,0.975,0.965,0.97,0.26,83777295,83777295,-6.213928434013091,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166024.html
7,162720,广发创业板两年定开混合,0.9089,07-15,暂停申购,暂停赎回,2026-10-29,10.0,100000000000.0,0.15,162720,广发创业板定开,0.85,0.017,2.04,12138.0,1030112.36,0.841,0.857,0.836,0.833,0.83,123984739,123984739,-6.480360875783921,T+1,T+1,https://fundf10.eastmoney.com/jjfl_162720.html
8,160926,大成创业板两年定开混合A,0.9038,07-15,暂停申购,暂停赎回,2026-08-13,10.0,100000000000.0,0.15,160926,创业板定开,0.844,-0.001,-0.12,1352.0,114421.765,0.845,0.847,0.844,0.845,0.18,64993123,64993123,-6.616508077008196,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160926.html
9,160325,华夏创业板两年定开混合,0.9095,07-15,暂停申购,暂停赎回,2026-08-20,10.0,100000000000.0,0.15,160325,华夏创业板定开,0.849,0.005,0.59,4150.0,351920.358,0.849,0.854,0.844,0.844,0.38,91667289,91667289,-6.6520065970313365,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160325.html
10,161914,万家创业板2年定期开放混合A,0.679,07-15,暂停申购,暂停赎回,2026-10-08,10.0,100000000000.0,0.15,161914,创业板2年定开,0.633,0.005,0.8,2917.0,185372.86,0.628,0.639,0.628,0.628,0.18,102637127,102637127,-6.774668630338739,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161914.html
11,506002,易方达科创板两年定开混合,1.0189,07-15,暂停申购,暂停赎回,2026-09-28,10.0,100000000000.0,0.15,506002,易方达科创板,0.93,0.011,1.2,11408.0,1062002.0,0.921,0.936,0.921,0.919,0.52,202475694,202475694,-8.725095691431923,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506002.html
12,506003,富国科创板两年定开混合,0.794,07-15,暂停申购,暂停赎回,2026-08-24,10.0,100000000000.0,0.15,506003,富国科创板,0.724,0.003,0.42,8007.0,578710.0,0.72,0.726,0.72,0.721,0.36,159954261,159954261,-8.816120906801014,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506003.html
13,506001,万家科创板2年定开混合,1.0393,07-15,暂停申购,暂停赎回,2026-08-31,10.0,100000000000.0,0.15,506001,万家科创板,0.945,0.006,0.64,2691.0,253764.0,0.939,0.946,0.939,0.939,0.25,103644387,103644387,-9.073414798422009,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506001.html
14,506005,博时科创板三年定开混合,0.9323,07-15,暂停申购,暂停赎回,2026-08-10,10.0,100000000000.0,0.15,506005,科创板博时,0.844,0.007,0.84,43283.0,3653575.0,0.838,0.847,0.838,0.837,0.58,630915320,630915320,-9.47120025742787,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506005.html
15,506006,汇添富科创板2年定开混合,0.969,07-15,暂停申购,暂停赎回,2026-08-24,10.0,100000000000.0,0.15,506006,汇添富科创板,0.876,0.006,0.69,9447.0,827330.0,0.874,0.879,0.874,0.87,0.43,193465213,193465213,-9.597523219814239,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506006.html
