,场外代码,基金简称,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费,场内代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,换手率,流通市值,总市值,溢价率%,买入确认日,卖出确认日,jjfl_url
0,501312,华宝海外科技股票(QDII-LOF)A,2.0206,11-06,限大额,开放赎回,,10.0,100.0,0.12,501312,海外科技LOF,2.2,0.072,3.38,350765.0,76338791.0,2.153,2.203,2.153,2.128,14.41,535688120,535688120,8.878550925467694,T+2,T+2,https://fundf10.eastmoney.com/jjfl_501312.html
1,161128,易方达标普信息科技指数(QDII-LOF)A(人民币),5.8774,11-06,限大额,开放赎回,,10.0,10.0,0.12,161128,标普信息科技LOF,6.356,0.171,2.76,288237.0,181391421.944,6.251,6.379,6.244,6.185,6.35,2882833258,2882833258,8.143056453533879,T+2,T+2,https://fundf10.eastmoney.com/jjfl_161128.html
2,501227,泓德红利优选混合(LOF)A,1.0858,11-07,开放申购,开放赎回,,10.0,100000000000.0,0.15,501227,泓德红利优选LOF,1.148,0.067,6.2,240269.0,26950919.0,1.085,1.188,1.081,1.081,29.61,93161463,93161463,5.728495118806392,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501227.html
3,501070,广发睿阳三年定开混合,1.2006,11-07,暂停申购,暂停赎回,2028-03-06,10.0,100000000000.0,0.15,501070,广发睿阳,1.138,0.0,0.0,738.0,83685.0,1.132,1.138,1.132,1.138,0.48,17348810,17348810,-5.214059636848242,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501070.html
4,501038,银华明择多策略定期开放混合,1.899,11-07,暂停申购,暂停赎回,2026-10-15,10.0,100000000000.0,0.15,501038,银华明择,1.794,0.002,0.11,190.0,34015.0,1.778,1.794,1.778,1.792,0.19,18281757,18281757,-5.529225908372827,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501038.html
5,501065,汇添富经典成长定开混合,1.3747,11-07,暂停申购,暂停赎回,2028-01-03,10.0,100000000000.0,0.15,501065,经典成长,1.294,0.0,0.0,119.0,15295.0,1.283,1.296,1.283,1.294,0.09,16887218,16887218,-5.870371717465629,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501065.html
6,161914,万家创业板2年定期开放混合A,0.7645,11-07,暂停申购,暂停赎回,2026-10-08,10.0,100000000000.0,0.15,161914,创业板2年定开,0.719,0.002,0.28,1513.0,109060.916,0.717,0.723,0.717,0.717,0.09,119434471,119434471,-5.95160235448005,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161914.html
7,166024,中欧恒利三年定期开放混合,1.2387,11-07,暂停申购,暂停赎回,2026-12-01,10.0,100000000000.0,0.15,166024,中欧恒利定开,1.157,0.003,0.26,3068.0,353465.156,1.154,1.159,1.144,1.154,0.36,99416880,99416880,-6.595624444982634,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166024.html
8,166027,中欧创业板两年定开混合A,0.9725,11-07,暂停申购,暂停赎回,2026-07-16,10.0,100000000000.0,0.15,166027,中欧创业定开,0.907,0.006,0.67,2523.0,227062.618,0.895,0.908,0.89,0.901,0.33,68497804,68497804,-6.735218508997429,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166027.html
9,160926,大成创业板两年定开混合A,1.1265,11-07,暂停申购,暂停赎回,2026-08-13,10.0,100000000000.0,0.15,160926,创业板定开,1.041,-0.003,-0.29,1795.0,186505.328,1.048,1.048,1.036,1.044,0.23,79829278,79829278,-7.589880159786961,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160926.html
