,场外代码,基金简称,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费,场内代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,换手率,流通市值,总市值,溢价率%,买入确认日,卖出确认日,jjfl_url
0,161132,易方达科顺定开混合,2.0885,09-11,暂停申购,暂停赎回,2027-12-21,10.0,100000000000.0,0.15,161132,易方达科顺定开,1.982,0.032,1.64,606.0,120166.2,1.95,1.994,1.95,1.95,0.89,13511484,13511484,-5.099353603064392,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161132.html
1,501065,汇添富经典成长定开混合,1.3355,09-11,暂停申购,暂停赎回,2028-01-03,10.0,100000000000.0,0.15,501065,经典成长,1.26,-0.008,-0.63,1327.0,166827.0,1.26,1.278,1.249,1.268,1.02,16319016,16319016,-5.653313365780599,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501065.html
2,501070,广发睿阳三年定开混合,1.1584,09-11,暂停申购,暂停赎回,2028-03-06,10.0,100000000000.0,0.15,501070,广发睿阳,1.092,-0.006,-0.55,854.0,94670.0,1.1,1.119,1.09,1.098,0.6,15664303,15664303,-5.732044198895029,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501070.html
3,166024,中欧恒利三年定期开放混合,1.1655,09-11,暂停申购,暂停赎回,2026-12-01,10.0,100000000000.0,0.15,166024,中欧恒利定开,1.098,0.007,0.64,3034.0,332487.199,1.09,1.1,1.086,1.091,0.35,94346123,94346123,-5.791505791505783,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166024.html
4,501046,财通多策略福鑫定开混合,4.0587,09-11,暂停申购,暂停赎回,2026-11-09,10.0,100000000000.0,0.15,501046,财通福鑫定开混合,3.82,-0.009,-0.24,27250.0,10418825.0,3.812,3.96,3.714,3.829,16.58,62778262,62778262,-5.88119348559884,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501046.html
5,501038,银华明择多策略定期开放混合,2.0243,09-11,暂停申购,暂停赎回,2026-10-15,10.0,100000000000.0,0.15,501038,银华明择,1.886,0.018,0.96,538.0,101091.0,1.87,1.886,1.87,1.868,0.53,18993340,18993340,-6.831991305636532,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501038.html
6,160726,嘉实瑞享定期混合,1.036,09-11,暂停申购,暂停赎回,2026-09-14,10.0,100000000000.0,0.15,160726,嘉实瑞享定开,0.963,-0.013,-1.33,2395.0,236107.808,0.978,0.991,0.963,0.976,0.62,37163295,37163295,-7.046332046332052,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160726.html
7,166025,中欧远见两年定开混合A,0.8122,09-11,暂停申购,暂停赎回,2027-04-26,10.0,100000000000.0,0.15,166025,中欧远见定开,0.752,0.0,0.0,6764.0,508651.3,0.752,0.752,0.737,0.752,1.16,43911983,43911983,-7.41196749569072,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166025.html
8,166027,中欧创业板两年定开混合A,0.9838,09-11,暂停申购,暂停赎回,2026-07-16,10.0,100000000000.0,0.15,166027,中欧创业定开,0.904,-0.008,-0.88,1929.0,175296.167,0.909,0.909,0.904,0.912,0.26,67938021,67938021,-8.111404757064442,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166027.html
9,161914,万家创业板2年定期开放混合A,0.7816,09-11,暂停申购,暂停赎回,2026-10-08,10.0,100000000000.0,0.15,161914,创业板2年定开,0.714,-0.005,-0.7,25966.0,1862247.287,0.718,0.722,0.714,0.719,1.57,117973120,117973120,-8.648925281473899,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161914.html
10,161912,万家社会责任18个月定开A,3.3042,09-11,暂停申购,暂停赎回,2027-01-15,10.0,1000.0,0.15,161912,社会责任定开,2.99,-0.009,-0.3,13177.0,3960095.229,2.997,3.028,2.97,2.999,2.5,157430299,157430299,-9.50910961806185,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161912.html
11,160529,博时创业板两年定开混合,1.3446,09-11,暂停申购,暂停赎回,2026-09-28,10.0,100000000000.0,0.15,160529,创业板博时定开,1.216,0.0,0.0,3325.0,403011.016,1.21,1.218,1.21,1.216,0.9,44982970,44982970,-9.564182656552138,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160529.html
12,161040,富国创业板两年定开混合,1.7869,09-11,暂停申购,暂停赎回,2026-08-10,10.0,100000000000.0,0.15,161040,创业富国定开,1.61,-0.01,-0.62,8690.0,1400433.6,1.621,1.621,1.595,1.62,1.26,111062917,111062917,-9.899826515193903,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161040.html
13,160926,大成创业板两年定开混合A,1.118,09-11,暂停申购,暂停赎回,2026-08-13,10.0,100000000000.0,0.15,160926,创业板定开,1.007,-0.001,-0.1,1567.0,157461.1,1.01,1.01,1.002,1.008,0.21,76799669,76799669,-9.9284436493739,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160926.html
14,160325,华夏创业板两年定开混合,1.2243,09-11,暂停申购,暂停赎回,2026-08-20,10.0,100000000000.0,0.15,160325,华夏创业板定开,1.1,-0.004,-0.36,8065.0,885395.97,1.104,1.106,1.093,1.104,0.73,120726641,120726641,-10.152740341419575,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160325.html
15,160143,南方创业板2年定期开放混合,1.3003,09-11,暂停申购,暂停赎回,2026-09-01,10.0,100000000000.0,0.15,160143,创业板定开南方,1.151,-0.009,-0.78,4483.0,518469.7,1.16,1.164,1.151,1.16,1.69,30457355,30457355,-11.481965700223025,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160143.html
16,506003,富国科创板两年定开混合,0.966,09-11,暂停申购,暂停赎回,2026-08-24,10.0,100000000000.0,0.15,506003,富国科创板,0.847,0.005,0.59,21575.0,1823906.0,0.847,0.85,0.838,0.842,0.97,189243008,189243008,-12.318840579710145,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506003.html
17,162720,广发创业板两年定开混合,1.2391,09-11,暂停申购,暂停赎回,2026-10-29,10.0,100000000000.0,0.15,162720,广发创业板定开,1.084,-0.006,-0.55,22744.0,2466343.811,1.088,1.096,1.08,1.09,1.56,158295678,158295678,-12.517149544023889,T+1,T+1,https://fundf10.eastmoney.com/jjfl_162720.html
18,506006,汇添富科创板2年定开混合,1.131,09-11,暂停申购,暂停赎回,2026-08-24,10.0,100000000000.0,0.15,506006,汇添富科创板,0.986,-0.01,-1.0,15416.0,1523638.0,0.991,0.995,0.984,0.996,0.69,218963485,218963485,-12.820512820512823,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506006.html
19,506000,南方科创板3年定开混合,0.9635,09-11,暂停申购,暂停赎回,2026-08-25,10.0,100000000000.0,0.15,506000,科创板基金,0.837,-0.005,-0.59,97523.0,8179350.0,0.84,0.845,0.833,0.842,1.25,655313160,655313160,-13.12921639854697,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506000.html
20,506002,易方达科创板两年定开混合,1.4139,09-11,暂停申购,暂停赎回,2026-09-28,10.0,100000000000.0,0.15,506002,易方达科创板,1.228,0.009,0.74,62665.0,7683697.0,1.215,1.233,1.215,1.219,2.86,269353695,269353695,-13.148030270881955,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506002.html
21,506001,万家科创板2年定开混合,1.328,09-11,暂停申购,暂停赎回,2026-08-31,10.0,100000000000.0,0.15,506001,万家科创板,1.152,-0.007,-0.6,17855.0,2059730.0,1.158,1.164,1.143,1.159,1.62,126786010,126786010,-13.253012048192783,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506001.html
22,506005,博时科创板三年定开混合,1.2682,09-11,暂停申购,暂停赎回,2026-08-10,10.0,100000000000.0,0.15,506005,科创板博时,1.095,-0.003,-0.27,126369.0,13827528.0,1.095,1.109,1.085,1.098,1.66,835229313,835229313,-13.657151868790413,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506005.html
