,场外代码,基金简称,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费,场内代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,换手率,流通市值,总市值,溢价率%,买入确认日,卖出确认日,jjfl_url
0,165520,中信保诚中证800有色指数(LOF)A,2.6418,10-10,开放申购,开放赎回,,10.0,100000000000.0,0.12,165520,有色LOF,2.983,0.271,9.99,11107.0,3137595.738,2.712,2.983,2.628,2.712,11.48,28857256,28857256,12.915436444848217,T+1,T+1,https://fundf10.eastmoney.com/jjfl_165520.html
1,160324,华夏磐晟混合(LOF),1.9964,10-10,开放申购,开放赎回,,10.0,100000000000.0,0.12,160324,华夏磐晟LOF,2.179,-0.242,-10.0,8765.0,1909893.5,2.179,2.179,2.179,2.421,25.57,7468740,7468740,9.146463634542169,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160324.html
2,161226,国投瑞银白银期货(LOF)A,1.2837,10-10,限大额,开放赎回,,10.0,10000.0,0.1,161226,国投白银LOF,1.36,0.074,5.75,2385368.0,314870950.724,1.29,1.363,1.289,1.286,10.55,3074115168,3074115168,5.943756329360445,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161226.html
3,164906,交银中证海外中国互联网指数(LOF)A,1.4468,10-09,开放申购,开放赎回,,10.0,100000000000.0,0.12,164906,中概互联网LOF,1.367,-0.036,-2.57,249613.0,34131749.669,1.37,1.385,1.348,1.403,3.07,1112070488,1112070488,-5.515620680121653,T+2,T+2,https://fundf10.eastmoney.com/jjfl_164906.html
4,501038,银华明择多策略定期开放混合,1.9769,10-10,暂停申购,暂停赎回,2026-10-15,10.0,100000000000.0,0.15,501038,银华明择,1.86,-0.03,-1.59,509.0,94605.0,1.885,1.885,1.86,1.89,0.5,18954330,18954330,-5.913298598816328,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501038.html
5,501070,广发睿阳三年定开混合,1.2134,10-10,暂停申购,暂停赎回,2028-03-06,10.0,100000000000.0,0.15,501070,广发睿阳,1.14,-0.002,-0.18,938.0,106138.0,1.113,1.14,1.113,1.142,0.64,16638756,16638756,-6.049118180319773,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501070.html
6,166025,中欧远见两年定开混合A,0.7763,10-10,暂停申购,暂停赎回,2027-04-26,10.0,100000000000.0,0.15,166025,中欧远见定开,0.727,-0.004,-0.55,3119.0,226546.0,0.728,0.728,0.725,0.731,0.53,42543187,42543187,-6.350637640087596,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166025.html
7,161132,易方达科顺定开混合,2.1928,10-10,暂停申购,暂停赎回,2027-12-21,10.0,100000000000.0,0.15,161132,易方达科顺定开,2.05,-0.03,-1.44,1148.0,231669.8,2.034,2.055,2.001,2.08,1.68,13975047,13975047,-6.512221816855174,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161132.html
8,166027,中欧创业板两年定开混合A,0.9709,10-10,暂停申购,暂停赎回,2026-07-16,10.0,100000000000.0,0.15,166027,中欧创业定开,0.9,-0.012,-1.32,694.0,61707.0,0.889,0.9,0.888,0.912,0.09,67716545,67716545,-7.302502832423522,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166027.html
9,501065,汇添富经典成长定开混合,1.4073,10-10,暂停申购,暂停赎回,2028-01-03,10.0,100000000000.0,0.15,501065,经典成长,1.304,-0.028,-2.1,1172.0,153048.0,1.313,1.318,1.3,1.332,0.9,16888886,16888886,-7.340297022667516,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501065.html
