,场外代码,基金简称,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费,场内代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,换手率,流通市值,总市值,溢价率%,买入确认日,卖出确认日,jjfl_url
0,161226,国投瑞银白银期货(LOF)A,2.1137,04-14,暂停申购,开放赎回,,10.0,100.0,0.1,161226,国投白银LOF,2.876,0.021,0.74,2374926.0,693877988.99,2.99,2.99,2.87,2.855,6.5,10502319571,10502319571,36.06472063206698,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161226.html
1,161129,易方达原油A类人民币,1.6253,04-14,暂停申购,开放赎回,,10.0,10.0,0.12,161129,原油LOF易方达,2.075,-0.098,-4.51,8593568.0,1827908056.825,2.062,2.186,2.054,2.173,,911512109,911512109,27.668738079123866,T+2,T+2,https://fundf10.eastmoney.com/jjfl_161129.html
2,501018,南方原油A,1.7682,04-13,暂停申购,开放赎回,,10.0,1.0,0.12,501018,南方原油LOF,2.216,-0.05,-2.21,17879575.0,4026160926.0,2.151,2.322,2.125,2.266,,1658717874,1658717874,25.325189458206097,T+2,T+2,https://fundf10.eastmoney.com/jjfl_501018.html
3,501097,国寿安保科技创新混合(LOF),1.9329,04-14,开放申购,开放赎回,,10.0,100000000000.0,0.15,501097,科创国寿LOF,2.383,0.217,10.02,2723.0,629862.0,2.166,2.383,2.166,2.166,37.69,1721479,1721479,23.286253815510367,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501097.html
4,160723,嘉实原油(QDII-LOF),2.0176,04-13,暂停申购,开放赎回,,10.0,5.0,0.12,160723,嘉实原油LOF,2.433,-0.083,-3.3,17689800.0,4386365019.812,2.416,2.532,2.412,2.516,,1643856722,1643856722,20.588818398096752,T+2,T+2,https://fundf10.eastmoney.com/jjfl_160723.html
5,501225,景顺长城全球半导体芯片股票A(QDII-LOF)(人民币),2.3822,04-13,暂停申购,开放赎回,,10.0,100.0,0.15,501225,全球芯片LOF,2.77,0.024,0.87,229316.0,64000448.0,2.824,2.868,2.706,2.746,12.54,506435499,506435499,16.279069767441857,T+2,T+2,https://fundf10.eastmoney.com/jjfl_501225.html
6,160416,华安标普全球石油指数(LOF)A,2.129,04-13,暂停申购,开放赎回,,10.0,2.0,0.12,160416,石油基金LOF,2.384,-0.113,-4.53,3168675.0,760446802.94,2.375,2.476,2.335,2.497,,405249468,405249468,11.977454203851568,T+2,T+2,https://fundf10.eastmoney.com/jjfl_160416.html
7,160220,国泰民益混合(LOF)A,3.7546,04-14,开放申购,开放赎回,,10.0,100000000000.0,0.15,160220,国泰民益LOF,4.034,-0.014,-0.35,2030.0,814239.501,4.051,4.329,3.81,4.048,6.04,13559932,13559932,7.441538379587702,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160220.html
8,161128,易方达标普信息科技指数(QDII-LOF)A(人民币),5.6009,04-13,暂停申购,开放赎回,,10.0,10.0,0.12,161128,标普信息科技LOF,5.928,0.199,3.47,308919.0,183326471.8,5.845,6.078,5.845,5.729,6.41,2856674366,2856674366,5.840132835794242,T+2,T+2,https://fundf10.eastmoney.com/jjfl_161128.html
9,161040,富国创业板两年定开混合,2.1283,04-14,暂停申购,暂停赎回,2026-08-10,10.0,100000000000.0,0.15,161040,创业富国定开,2.021,-0.013,-0.64,5249.0,1064358.922,2.048,2.052,1.991,2.034,0.73,145161419,145161419,-5.041582483672412,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161040.html
