,场外代码,基金简称,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费,场内代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,换手率,流通市值,总市值,溢价率%,买入确认日,卖出确认日,jjfl_url
0,160726,嘉实瑞享定期混合,1.003,08-06,暂停申购,暂停赎回,2026-09-14,10.0,100000000000.0,0.15,160726,嘉实瑞享定开,0.951,-0.003,-0.31,678.0,64227.146,0.968,0.968,0.945,0.954,0.17,37157019,37157019,-5.184446660019934,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160726.html
1,501046,财通多策略福鑫定开混合,2.7179,08-06,暂停申购,暂停赎回,2026-11-09,10.0,100000000000.0,0.15,501046,财通福鑫定开混合,2.572,-0.02,-0.77,6535.0,1690686.0,2.58,2.625,2.54,2.592,4.13,40683639,40683639,-5.3681150888553715,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501046.html
2,166024,中欧恒利三年定期开放混合,1.1048,08-06,暂停申购,暂停赎回,2026-12-01,10.0,100000000000.0,0.15,166024,中欧恒利定开,1.042,0.001,0.1,1760.0,182910.8,1.048,1.048,1.034,1.041,0.2,89534299,89534299,-5.6842867487327995,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166024.html
3,166027,中欧创业板两年定开混合A,0.9011,08-06,暂停申购,暂停赎回,2026-07-16,10.0,100000000000.0,0.15,166027,中欧创业定开,0.849,-0.002,-0.24,582.0,49303.7,0.847,0.849,0.847,0.851,0.08,63656114,63656114,-5.7818222172899825,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166027.html
4,161912,万家社会责任18个月定开A,2.3281,08-06,暂停申购,暂停赎回,2027-01-15,10.0,1000.0,0.15,161912,社会责任定开,2.19,-0.016,-0.73,1762.0,388022.3,2.207,2.207,2.163,2.206,0.34,112565015,112565015,-5.931875778531855,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161912.html
5,161132,易方达科顺定开混合,1.796,08-06,暂停申购,暂停赎回,2027-12-21,10.0,100000000000.0,0.15,161132,易方达科顺定开,1.688,0.015,0.9,495.0,82656.6,1.678,1.688,1.668,1.673,0.73,11506920,11506920,-6.0133630289532345,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161132.html
6,160926,大成创业板两年定开混合A,0.964,08-06,暂停申购,暂停赎回,2026-08-13,10.0,100000000000.0,0.15,160926,创业板定开,0.903,0.002,0.22,389.0,35047.2,0.902,0.903,0.899,0.901,0.05,68663734,68663734,-6.327800829875513,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160926.html
7,160325,华夏创业板两年定开混合,0.9561,08-06,暂停申购,暂停赎回,2026-08-20,10.0,100000000000.0,0.15,160325,华夏创业板定开,0.895,-0.005,-0.56,1730.0,154971.5,0.902,0.902,0.891,0.9,0.16,96642794,96642794,-6.390544922079274,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160325.html
8,160143,南方创业板2年定期开放混合,1.0515,08-06,暂停申购,暂停赎回,2026-09-01,10.0,100000000000.0,0.15,160143,创业板定开南方,0.983,0.003,0.31,1263.0,123990.3,0.98,0.989,0.978,0.98,0.48,25661972,25661972,-6.514503090822645,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160143.html
9,161040,富国创业板两年定开混合,1.3821,08-06,暂停申购,暂停赎回,2026-08-10,10.0,100000000000.0,0.15,161040,创业富国定开,1.292,0.001,0.08,2065.0,266820.8,1.288,1.295,1.287,1.291,0.31,86659520,86659520,-6.5190651906519115,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161040.html
10,161914,万家创业板2年定期开放混合A,0.7299,08-06,暂停申购,暂停赎回,2026-10-08,10.0,100000000000.0,0.15,161914,创业板2年定开,0.681,0.001,0.15,5854.0,398898.181,0.679,0.683,0.677,0.68,0.36,110487339,110487339,-6.699547883271674,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161914.html
11,501065,汇添富经典成长定开混合,1.1647,08-06,暂停申购,暂停赎回,2028-01-03,10.0,100000000000.0,0.15,501065,经典成长,1.086,0.006,0.56,484.0,52034.0,1.075,1.086,1.066,1.08,0.37,14065438,14065438,-6.757104833862797,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501065.html
12,160529,博时创业板两年定开混合,1.0694,08-06,暂停申购,暂停赎回,2026-09-28,10.0,100000000000.0,0.15,160529,创业板博时定开,0.996,-0.001,-0.1,1297.0,128887.986,0.998,1.003,0.993,0.997,0.35,36882590,36882590,-6.8636618664671705,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160529.html
13,162720,广发创业板两年定开混合,0.9909,08-06,暂停申购,暂停赎回,2026-10-29,10.0,100000000000.0,0.15,162720,广发创业板定开,0.918,-0.004,-0.43,4339.0,397998.9,0.92,0.923,0.913,0.922,0.3,134032038,134032038,-7.35694822888283,T+1,T+1,https://fundf10.eastmoney.com/jjfl_162720.html
14,506002,易方达科创板两年定开混合,1.1385,08-06,暂停申购,暂停赎回,2026-09-28,10.0,100000000000.0,0.15,506002,易方达科创板,1.053,0.005,0.48,28412.0,2987589.0,1.048,1.054,1.043,1.048,1.3,229536099,229536099,-7.509881422924912,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506002.html
15,506003,富国科创板两年定开混合,0.8512,08-06,暂停申购,暂停赎回,2026-08-24,10.0,100000000000.0,0.15,506003,富国科创板,0.782,0.001,0.13,10845.0,846223.0,0.781,0.787,0.777,0.781,0.49,172860318,172860318,-8.129699248120293,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506003.html
16,506001,万家科创板2年定开混合,1.1067,08-06,暂停申购,暂停赎回,2026-08-31,10.0,100000000000.0,0.15,506001,万家科创板,1.015,0.002,0.2,7721.0,781997.0,1.013,1.016,1.009,1.013,0.7,111321952,111321952,-8.285895003162565,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506001.html
17,506006,汇添富科创板2年定开混合,1.0366,08-06,暂停申购,暂停赎回,2026-08-24,10.0,100000000000.0,0.15,506006,汇添富科创板,0.95,0.001,0.11,11263.0,1069444.0,0.949,0.952,0.946,0.949,0.51,210260080,210260080,-8.35423499903531,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506006.html
18,506005,博时科创板三年定开混合,1.0494,08-06,暂停申购,暂停赎回,2026-08-10,10.0,100000000000.0,0.15,506005,科创板博时,0.954,0.004,0.42,87835.0,8364548.0,0.95,0.956,0.946,0.95,1.17,714058025,714058025,-9.090909090909104,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506005.html
19,506000,南方科创板3年定开混合,0.887,08-06,暂停申购,暂停赎回,2026-08-25,10.0,100000000000.0,0.15,506000,科创板基金,0.803,0.004,0.5,83215.0,6687238.0,0.8,0.807,0.799,0.799,1.07,623264587,623264587,-9.470124013528745,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506000.html
