,场外代码,基金简称,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费,场内代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,换手率,流通市值,总市值,溢价率%,买入确认日,卖出确认日,jjfl_url
0,161030,富国中证体育产业指数(LOF)A,1.16,08-22,开放申购,开放赎回,,10.0,100000000000.0,0.12,161030,体育LOF,1.265,0.115,10.0,5056.0,620185.798,1.165,1.265,1.162,1.15,18.46,3464697,3464697,9.051724137931034,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161030.html
1,165512,中信保诚新机遇混合(LOF),1.309,08-22,开放申购,开放赎回,,10.0,100000000000.0,0.15,165512,中信保诚机遇LOF,1.42,-0.02,-1.39,511.0,69701.737,1.384,1.439,1.335,1.44,18.27,397121,397121,8.479755538579067,T+1,T+1,https://fundf10.eastmoney.com/jjfl_165512.html
2,168104,九泰锐丰灵活配置混合(LOF)A,0.9507,08-22,开放申购,开放赎回,,10.0,100000000000.0,0.15,168104,九泰锐丰LOF,1.027,0.056,5.77,892.0,88948.483,0.942,1.067,0.942,0.971,13.43,681997,681997,8.025665299253173,T+1,T+1,https://fundf10.eastmoney.com/jjfl_168104.html
3,160642,鹏华增瑞混合(LOF)A,1.8646,08-22,开放申购,开放赎回,,10.0,100000000000.0,0.15,160642,鹏华增瑞LOF,1.984,0.123,6.61,56.0,10523.16,1.89,1.984,1.889,1.861,1.31,842666,842666,6.403518180843074,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160642.html
4,501065,汇添富经典成长定开混合,1.2753,08-22,暂停申购,暂停赎回,2028-01-03,10.0,100000000000.0,0.15,501065,经典成长,1.21,0.023,1.94,1186.0,142644.0,1.198,1.216,1.181,1.187,0.92,15671436,15671436,-5.120363835960177,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501065.html
5,166024,中欧恒利三年定期开放混合,1.1797,08-22,暂停申购,暂停赎回,2026-12-01,10.0,100000000000.0,0.15,166024,中欧恒利定开,1.118,0.024,2.19,7636.0,847927.49,1.103,1.119,1.092,1.094,0.89,96064632,96064632,-5.230143256760182,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166024.html
6,161912,万家社会责任18个月定开A,2.8592,08-22,暂停申购,暂停赎回,2027-01-15,10.0,1000.0,0.15,161912,社会责任定开,2.709,0.074,2.81,19115.0,5169911.491,2.671,2.738,2.671,2.635,3.71,139623561,139623561,-5.253217683268043,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161912.html
7,501038,银华明择多策略定期开放混合,1.9858,08-22,暂停申购,暂停赎回,2026-10-15,10.0,100000000000.0,0.15,501038,银华明择,1.876,-0.006,-0.32,417.0,78297.0,1.867,1.883,1.867,1.882,0.41,18892633,18892633,-5.529257729882169,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501038.html
8,161040,富国创业板两年定开混合,1.6377,08-22,暂停申购,暂停赎回,2026-08-10,10.0,100000000000.0,0.15,161040,创业富国定开,1.547,0.055,3.69,14648.0,2250439.511,1.509,1.547,1.509,1.492,2.18,104108038,104108038,-5.538254869634244,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161040.html
9,166027,中欧创业板两年定开混合A,0.9384,08-22,暂停申购,暂停赎回,2026-07-16,10.0,100000000000.0,0.15,166027,中欧创业定开,0.886,0.012,1.37,16896.0,1491064.767,0.88,0.886,0.87,0.874,2.25,66476700,66476700,-5.583972719522592,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166027.html
