,场外代码,基金简称,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费,场内代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,换手率,流通市值,总市值,溢价率%,买入确认日,卖出确认日,jjfl_url
0,501046,财通多策略福鑫定开混合,3.505,09-04,暂停申购,暂停赎回,2026-11-09,10.0,100000000000.0,0.15,501046,财通福鑫定开混合,3.796,0.114,3.1,36184.0,12940291.0,3.594,3.833,3.339,3.682,22.06,62274139,62274139,8.302425106990013,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501046.html
1,501095,中银证券科技创新混合(LOF),0.75,09-04,开放申购,开放赎回,,10.0,100000000000.0,0.15,501095,中银证券科技创新LOF,0.803,0.056,7.5,11572.0,900097.0,0.76,0.803,0.74,0.747,1.73,53792087,53792087,7.066666666666673,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501095.html
2,161722,招商丰泰混合(LOF),1.485,09-04,开放申购,开放赎回,,10.0,100000000000.0,0.15,161722,招商丰泰LOF,1.58,0.078,5.19,171.0,25509.481,1.472,1.58,1.435,1.502,7.09,381916,381916,6.397306397306394,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161722.html
3,501058,汇添富中证新能源汽车产业指数(LOF)C,1.9757,09-04,开放申购,开放赎回,,10.0,100000000000.0,0.0,501058,新能源车LOFC,2.098,0.124,6.28,11194.0,2293878.0,1.974,2.098,1.974,1.974,6.3,37298664,37298664,6.190211064432852,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501058.html
4,501026,财通多策略福享混合(LOF),1.2682,09-04,开放申购,开放赎回,,10.0,100000000000.0,0.15,501026,财通福享混合LOF,1.346,0.11,8.9,4058.0,529840.0,1.264,1.347,1.231,1.236,3.33,16413662,16413662,6.1346790727014735,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501026.html
5,161028,富国中证新能源汽车指数(LOF)A,0.948,09-04,开放申购,开放赎回,,10.0,100000000000.0,0.12,161028,新能源车LOF,1.006,0.065,6.91,58241.0,5737623.494,0.95,1.009,0.943,0.941,4.51,130046996,130046996,6.1181434599156175,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161028.html
6,501057,汇添富中证新能源汽车产业指数(LOF)A,2.0142,09-04,开放申购,开放赎回,,10.0,100000000000.0,0.12,501057,新能源车LOF,2.136,0.136,6.8,38558.0,8036570.0,2.0,2.136,2.0,2.0,4.84,170286833,170286833,6.047065832588616,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501057.html
7,501046,财通多策略福鑫定开混合,3.505,09-04,暂停申购,暂停赎回,2026-11-09,10.0,100000000000.0,0.15,501046,财通福鑫定开混合,3.71,0.028,0.76,36408.0,13023441.0,3.594,3.833,3.339,3.682,22.19,60863292,60863292,5.848787446504995,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501046.html
8,160223,国泰创业板指数(LOF)A,1.5458,09-04,开放申购,开放赎回,,10.0,100000000000.0,0.12,160223,创业板LOF,1.634,0.084,5.42,13409.0,2139818.444,1.551,1.634,1.524,1.55,8.24,26600855,26600855,5.705783413119409,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160223.html
9,163114,申万菱信中证环保产业指数(LOF)A,1.1445,09-04,开放申购,开放赎回,,10.0,100000000000.0,0.12,163114,申万环保LOF,1.209,0.075,6.61,4466.0,529163.332,1.15,1.209,1.15,1.134,1.48,36404586,36404586,5.6356487549148095,T+1,T+1,https://fundf10.eastmoney.com/jjfl_163114.html
