,场外代码,基金简称,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费,场内代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,换手率,流通市值,总市值,溢价率%,买入确认日,卖出确认日,jjfl_url
0,164508,国富中证A100指数增强(LOF),1.138,07-23,开放申购,开放赎回,,10.0,100000000000.0,0.12,164508,国富中证A100LOF,1.239,0.089,7.74,4526.0,532276.335,1.15,1.265,1.138,1.15,21.75,2578101,2578101,8.875219683655553,T+1,T+1,https://fundf10.eastmoney.com/jjfl_164508.html
1,166024,中欧恒利三年定期开放混合,1.0804,07-23,暂停申购,暂停赎回,2026-12-01,10.0,100000000000.0,0.15,166024,中欧恒利定开,1.026,0.007,0.69,4373.0,447609.74,1.025,1.027,1.02,1.019,0.51,88159492,88159492,-5.03517215845983,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166024.html
2,161132,易方达科顺定开混合,1.7803,07-23,暂停申购,暂停赎回,2027-12-21,10.0,100000000000.0,0.15,161132,易方达科顺定开,1.688,0.002,0.12,1021.0,171432.3,1.687,1.688,1.669,1.686,1.5,11507089,11507089,-5.1845194630118545,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161132.html
3,166025,中欧远见两年定开混合A,0.7928,07-23,暂停申购,暂停赎回,2027-04-26,10.0,100000000000.0,0.15,166025,中欧远见定开,0.751,0.001,0.13,2774.0,209306.494,0.752,0.758,0.748,0.75,0.49,42128465,42128465,-5.272452068617552,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166025.html
4,166027,中欧创业板两年定开混合A,0.8919,07-23,暂停申购,暂停赎回,2026-07-16,10.0,100000000000.0,0.15,166027,中欧创业定开,0.843,0.006,0.72,2004.0,168721.796,0.838,0.844,0.838,0.837,0.27,63206247,63206247,-5.482677430205186,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166027.html
5,161914,万家创业板2年定期开放混合A,0.6953,07-23,暂停申购,暂停赎回,2026-10-08,10.0,100000000000.0,0.15,161914,创业板2年定开,0.657,0.009,1.39,3941.0,258051.629,0.645,0.657,0.645,0.648,0.24,106593512,106593512,-5.508413634402416,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161914.html
6,160726,嘉实瑞享定期混合,0.994,07-23,暂停申购,暂停赎回,2026-09-14,10.0,100000000000.0,0.15,160726,嘉实瑞享定开,0.939,0.003,0.32,1846.0,173515.4,0.939,0.941,0.938,0.936,0.47,36667636,36667636,-5.533199195171031,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160726.html
7,160325,华夏创业板两年定开混合,0.9374,07-23,暂停申购,暂停赎回,2026-08-20,10.0,100000000000.0,0.15,160325,华夏创业板定开,0.885,0.003,0.34,3867.0,341586.582,0.884,0.886,0.881,0.882,0.36,95554241,95554241,-5.589929592489866,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160325.html
8,162720,广发创业板两年定开混合,0.9366,07-23,暂停申购,暂停赎回,2026-10-29,10.0,100000000000.0,0.15,162720,广发创业板定开,0.883,0.008,0.91,5513.0,484344.116,0.874,0.883,0.874,0.875,0.38,128798264,128798264,-5.7228272474909225,T+1,T+1,https://fundf10.eastmoney.com/jjfl_162720.html
9,161040,富国创业板两年定开混合,1.3282,07-23,暂停申购,暂停赎回,2026-08-10,10.0,100000000000.0,0.15,161040,创业富国定开,1.251,0.005,0.4,3220.0,402796.0,1.245,1.259,1.245,1.246,0.49,82870617,82870617,-5.812377653967787,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161040.html
10,160143,南方创业板2年定期开放混合,1.0133,07-23,暂停申购,暂停赎回,2026-09-01,10.0,100000000000.0,0.15,160143,创业板定开南方,0.953,0.001,0.11,3111.0,295600.843,0.954,0.954,0.948,0.952,1.19,24878799,24878799,-5.9508536465015425,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160143.html
11,160529,博时创业板两年定开混合,1.0492,07-23,暂停申购,暂停赎回,2026-09-28,10.0,100000000000.0,0.15,160529,创业板博时定开,0.986,0.003,0.31,2034.0,199998.084,0.985,0.986,0.981,0.983,0.55,36463576,36463576,-6.023637056805178,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160529.html
12,160926,大成创业板两年定开混合A,0.9367,07-23,暂停申购,暂停赎回,2026-08-13,10.0,100000000000.0,0.15,160926,创业板定开,0.88,0.005,0.57,1062.0,93423.58,0.877,0.881,0.877,0.875,0.14,66906020,66906020,-6.053165367780503,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160926.html
13,501065,汇添富经典成长定开混合,1.1381,07-23,暂停申购,暂停赎回,2028-01-03,10.0,100000000000.0,0.15,501065,经典成长,1.064,0.0,0.0,463.0,49356.0,1.063,1.073,1.063,1.064,0.36,13780502,13780502,-6.510851419031706,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501065.html
14,506001,万家科创板2年定开混合,1.0539,07-23,暂停申购,暂停赎回,2026-08-31,10.0,100000000000.0,0.15,506001,万家科创板,0.971,0.008,0.83,6910.0,668673.0,0.963,0.971,0.963,0.963,0.63,106495979,106495979,-7.866021444159794,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506001.html
15,506002,易方达科创板两年定开混合,1.0442,07-23,暂停申购,暂停赎回,2026-09-28,10.0,100000000000.0,0.15,506002,易方达科创板,0.961,0.003,0.31,19533.0,1876752.0,0.958,0.963,0.957,0.958,0.9,209260537,209260537,-7.96782225627275,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506002.html
16,506005,博时科创板三年定开混合,0.9524,07-23,暂停申购,暂停赎回,2026-08-10,10.0,100000000000.0,0.15,506005,科创板博时,0.875,0.011,1.27,43660.0,3804376.0,0.865,0.876,0.864,0.864,0.58,654109232,654109232,-8.126837463250737,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506005.html
17,506006,汇添富科创板2年定开混合,1.0047,07-23,暂停申购,暂停赎回,2026-08-24,10.0,100000000000.0,0.15,506006,汇添富科创板,0.92,0.006,0.66,22110.0,2032023.0,0.915,0.92,0.915,0.914,1.0,203315308,203315308,-8.430377227032935,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506006.html
18,506003,富国科创板两年定开混合,0.8208,07-23,暂停申购,暂停赎回,2026-08-24,10.0,100000000000.0,0.15,506003,富国科创板,0.749,0.006,0.81,27628.0,2061551.0,0.745,0.749,0.742,0.743,1.25,165543381,165543381,-8.747563352826509,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506003.html
19,506000,南方科创板3年定开混合,0.858,07-23,暂停申购,暂停赎回,2026-08-25,10.0,100000000000.0,0.15,506000,科创板基金,0.774,0.008,1.04,277899.0,21395157.0,0.766,0.774,0.766,0.766,3.58,600171526,600171526,-9.790209790209786,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506000.html
