,场外代码,基金简称,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费,场内代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,换手率,流通市值,总市值,溢价率%,买入确认日,卖出确认日,jjfl_url
0,168301,东海祥龙(LOF)A,0.8901,09-25,开放申购,开放赎回,,10.0,100000000000.0,0.08,168301,东海祥龙LOF,0.994,0.06,6.42,2069.0,203164.311,0.934,1.022,0.905,0.934,4.83,4260078,4260078,11.6728457476688,T+1,T+1,https://fundf10.eastmoney.com/jjfl_168301.html
1,501070,广发睿阳三年定开混合,1.1616,09-25,暂停申购,暂停赎回,2028-03-06,10.0,100000000000.0,0.15,501070,广发睿阳,1.102,0.004,0.36,1052.0,114470.0,1.088,1.107,1.081,1.098,0.72,16081927,16081927,-5.130853994490348,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501070.html
2,166024,中欧恒利三年定期开放混合,1.1894,09-25,暂停申购,暂停赎回,2026-12-01,10.0,100000000000.0,0.15,166024,中欧恒利定开,1.111,0.001,0.09,2417.0,267427.33,1.1,1.113,1.089,1.11,0.28,95463154,95463154,-6.5915587691272925,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166024.html
3,501065,汇添富经典成长定开混合,1.4055,09-25,暂停申购,暂停赎回,2028-01-03,10.0,100000000000.0,0.15,501065,经典成长,1.311,0.004,0.31,1520.0,199213.0,1.307,1.314,1.292,1.307,1.17,16979548,16979548,-6.723585912486661,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501065.html
4,161132,易方达科顺定开混合,2.1803,09-25,暂停申购,暂停赎回,2027-12-21,10.0,100000000000.0,0.15,161132,易方达科顺定开,2.031,0.0,0.0,938.0,188539.7,2.014,2.042,1.994,2.031,1.38,13845522,13845522,-6.8476815117185605,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161132.html
5,501038,银华明择多策略定期开放混合,2.0687,09-25,暂停申购,暂停赎回,2026-10-15,10.0,100000000000.0,0.15,501038,银华明择,1.915,0.005,0.26,292.0,55741.0,1.921,1.921,1.897,1.91,0.29,19477082,19477082,-7.429786822642247,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501038.html
6,166025,中欧远见两年定开混合A,0.791,09-25,暂停申购,暂停赎回,2027-04-26,10.0,100000000000.0,0.15,166025,中欧远见定开,0.732,-0.003,-0.41,6358.0,463595.084,0.731,0.732,0.726,0.735,1.09,42835781,42835781,-7.458912768647289,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166025.html
7,160726,嘉实瑞享定期混合,1.0714,09-25,暂停申购,暂停赎回,2026-09-14,10.0,100000000000.0,0.15,160726,嘉实瑞享定开,0.991,0.004,0.41,4424.0,435959.823,0.99,0.993,0.975,0.987,1.14,38486145,38486145,-7.504200112002978,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160726.html
8,501046,财通多策略福鑫定开混合,4.1377,09-25,暂停申购,暂停赎回,2026-11-09,10.0,100000000000.0,0.15,501046,财通福鑫定开混合,3.775,-0.116,-2.98,11186.0,4276928.0,3.833,3.884,3.754,3.891,6.81,62038728,62038728,-8.765739420450972,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501046.html
9,166027,中欧创业板两年定开混合A,0.9899,09-25,暂停申购,暂停赎回,2026-07-16,10.0,100000000000.0,0.15,166027,中欧创业定开,0.901,-0.003,-0.33,1252.0,113022.298,0.904,0.914,0.899,0.904,0.17,67765070,67765070,-8.980705121729466,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166027.html
