,场外代码,基金简称,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费,场内代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,换手率,流通市值,总市值,溢价率%,买入确认日,卖出确认日,jjfl_url
0,161226,国投瑞银白银期货(LOF)A,2.5462,01-16,限大额,开放赎回,,10.0,100.0,0.1,161226,国投白银LOF,3.384,0.29,9.37,5646485.0,1841063120.145,3.13,3.388,3.128,3.094,16.8,11373676682,11373676682,32.90393527609773,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161226.html
1,501225,景顺长城全球半导体芯片股票A(QDII-LOF)(人民币),2.1948,01-15,限大额,开放赎回,,10.0,100.0,0.15,501225,全球芯片LOF,2.384,0.037,1.58,89586.0,21058772.0,2.31,2.386,2.31,2.347,5.68,376253846,376253846,8.620375432841264,T+2,T+2,https://fundf10.eastmoney.com/jjfl_501225.html
2,166027,中欧创业板两年定开混合A,1.0241,01-16,暂停申购,暂停赎回,2026-07-16,10.0,100000000000.0,0.15,166027,中欧创业定开,0.971,0.005,0.52,4315.0,420308.4,0.966,1.029,0.965,0.966,0.56,74188296,74188296,-5.185040523386392,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166027.html
3,161040,富国创业板两年定开混合,1.9738,01-16,暂停申购,暂停赎回,2026-08-10,10.0,100000000000.0,0.15,161040,创业富国定开,1.867,0.001,0.05,3100.0,580492.6,1.85,1.894,1.85,1.866,0.44,132786458,132786458,-5.410882561556389,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161040.html
4,160726,嘉实瑞享定期混合,1.0987,01-16,暂停申购,暂停赎回,2026-09-14,10.0,100000000000.0,0.15,160726,嘉实瑞享定开,1.039,0.012,1.17,1684.0,174585.6,1.035,1.039,1.028,1.027,0.41,42342499,42342499,-5.433694366068999,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160726.html
5,160926,大成创业板两年定开混合A,1.1155,01-16,暂停申购,暂停赎回,2026-08-13,10.0,100000000000.0,0.15,160926,创业板定开,1.052,-0.003,-0.28,611.0,64248.3,1.05,1.058,1.05,1.055,0.08,82354648,82354648,-5.692514567458529,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160926.html
6,501062,南方瑞合定开混合(LOF),2.0501,01-16,暂停申购,暂停赎回,2027-09-06,10.0,100000000000.0,0.15,501062,南方瑞合LOF,1.933,0.018,0.94,3624.0,697545.0,1.913,1.938,1.905,1.915,0.44,159406198,159406198,-5.711916491878444,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501062.html
7,501038,银华明择多策略定期开放混合,1.8847,01-16,暂停申购,暂停赎回,2026-10-15,10.0,100000000000.0,0.15,501038,银华明择,1.777,0.0,0.0,,,,,,1.777,0.0,18290483,18290483,-5.714437310977881,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501038.html
8,160325,华夏创业板两年定开混合,1.411,01-16,暂停申购,暂停赎回,2026-08-20,10.0,100000000000.0,0.15,160325,华夏创业板定开,1.33,0.003,0.23,2813.0,373911.616,1.326,1.356,1.325,1.327,0.25,150365568,150365568,-5.7406094968107695,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160325.html
9,501065,汇添富经典成长定开混合,1.3963,01-16,暂停申购,暂停赎回,2028-01-03,10.0,100000000000.0,0.15,501065,经典成长,1.312,-0.01,-0.76,495.0,65797.0,1.317,1.331,1.311,1.322,0.38,17122125,17122125,-6.0373845162214455,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501065.html
