,场外代码,基金简称,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费,场内代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,换手率,流通市值,总市值,溢价率%,买入确认日,卖出确认日,jjfl_url
0,161128,易方达标普信息科技指数(QDII-LOF)A(人民币),5.9653,11-11,限大额,开放赎回,,10.0,10.0,0.12,161128,标普信息科技LOF,6.431,-0.022,-0.34,121204.0,77950529.408,6.449,6.449,6.419,6.453,2.67,2922177768,2922177768,7.806816086366151,T+2,T+2,https://fundf10.eastmoney.com/jjfl_161128.html
1,501312,华宝海外科技股票(QDII-LOF)A,2.0382,11-11,限大额,开放赎回,,10.0,100.0,0.12,501312,海外科技LOF,2.188,-0.013,-0.59,177970.0,38917950.0,2.186,2.192,2.181,2.201,7.08,549949424,549949424,7.349622215680522,T+2,T+2,https://fundf10.eastmoney.com/jjfl_501312.html
2,161226,国投瑞银白银期货(LOF)A,1.3681,11-12,限大额,开放赎回,,10.0,100.0,0.1,161226,国投白银LOF,1.457,0.053,3.77,2184973.0,315825527.801,1.437,1.467,1.429,1.404,9.15,3480260556,3480260556,6.498063007090122,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161226.html
3,501057,汇添富中证新能源汽车产业指数(LOF)A,2.4662,11-12,开放申购,开放赎回,,10.0,100000000000.0,0.12,501057,新能源车LOF,2.594,0.137,5.58,28575.0,7343710.0,2.456,2.609,2.456,2.457,4.96,149459276,149459276,5.182061471089112,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501057.html
4,161028,富国中证新能源汽车指数(LOF)A,1.164,11-12,开放申购,开放赎回,,10.0,100000000000.0,0.12,161028,新能源车LOF,1.224,0.064,5.52,57629.0,6986021.159,1.163,1.231,1.163,1.16,5.3,133042615,133042615,5.154639175257737,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161028.html
5,501058,汇添富中证新能源汽车产业指数(LOF)C,2.4178,11-12,开放申购,开放赎回,,10.0,100000000000.0,0.0,501058,新能源车LOFC,2.542,0.117,4.82,6646.0,1679463.0,2.43,2.567,2.43,2.425,4.89,34551881,34551881,5.136901315245249,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501058.html
6,501038,银华明择多策略定期开放混合,1.9205,11-12,暂停申购,暂停赎回,2026-10-15,10.0,100000000000.0,0.15,501038,银华明择,1.821,0.017,0.94,538.0,98161.0,1.807,1.837,1.805,1.804,0.53,18556901,18556901,-5.180942462900293,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501038.html
7,160325,华夏创业板两年定开混合,1.3145,11-12,暂停申购,暂停赎回,2026-08-20,10.0,100000000000.0,0.15,160325,华夏创业板定开,1.246,0.022,1.8,19784.0,2449188.985,1.223,1.246,1.222,1.224,1.77,138914683,138914683,-5.2111068847470525,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160325.html
8,501070,广发睿阳三年定开混合,1.2078,11-12,暂停申购,暂停赎回,2028-03-06,10.0,100000000000.0,0.15,501070,广发睿阳,1.144,0.01,0.88,2638.0,301263.0,1.134,1.144,1.134,1.134,1.73,17440280,17440280,-5.282331511839715,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501070.html
9,161132,易方达科顺定开混合,2.1643,11-12,暂停申购,暂停赎回,2027-12-21,10.0,100000000000.0,0.15,161132,易方达科顺定开,2.041,0.024,1.19,605.0,123083.0,2.031,2.041,2.02,2.017,0.89,13913893,13913893,-5.696992099062051,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161132.html
