,场外代码,基金简称,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费,场内代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,换手率,流通市值,总市值,溢价率%,买入确认日,卖出确认日,jjfl_url
0,168203,国联国证钢铁行业指数(LOF)A,1.283,07-22,开放申购,开放赎回,,10.0,100000000000.0,0.0,168203,钢铁LOF,1.391,0.112,8.76,5169.0,703432.135,1.281,1.407,1.271,1.279,9.6,7493147,7493147,8.417770849571324,T+1,T+1,https://fundf10.eastmoney.com/jjfl_168203.html
1,502023,鹏华国证钢铁行业指数(LOF)A,1.729,07-22,开放申购,开放赎回,,10.0,100000000000.0,0.12,502023,钢铁LOF,1.82,-0.1,-5.21,8205.0,1497178.0,1.919,1.919,1.73,1.92,30.01,4976972,4976972,5.26315789473684,T+1,T+1,https://fundf10.eastmoney.com/jjfl_502023.html
2,166025,中欧远见两年定开混合A,0.7938,07-22,暂停申购,暂停赎回,2027-04-26,10.0,100000000000.0,0.15,166025,中欧远见定开,0.75,0.003,0.4,2305.0,173490.12,0.75,0.757,0.747,0.747,0.41,42072369,42072369,-5.517762660619797,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166025.html
3,160143,南方创业板2年定期开放混合,1.0123,07-22,暂停申购,暂停赎回,2026-09-01,10.0,100000000000.0,0.15,160143,创业板定开南方,0.954,0.002,0.21,2322.0,221340.683,0.94,0.956,0.94,0.952,0.89,24904905,24904905,-5.759162303664923,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160143.html
4,166024,中欧恒利三年定期开放混合,1.0832,07-22,暂停申购,暂停赎回,2026-12-01,10.0,100000000000.0,0.15,166024,中欧恒利定开,1.019,0.006,0.59,7161.0,728015.495,1.011,1.025,1.01,1.013,0.83,87558014,87558014,-5.926883308714922,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166024.html
5,160325,华夏创业板两年定开混合,0.9381,07-22,暂停申购,暂停赎回,2026-08-20,10.0,100000000000.0,0.15,160325,华夏创业板定开,0.882,0.005,0.57,4050.0,356004.229,0.881,0.884,0.875,0.877,0.38,95230329,95230329,-5.980172689478738,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160325.html
6,161040,富国创业板两年定开混合,1.3265,07-22,暂停申购,暂停赎回,2026-08-10,10.0,100000000000.0,0.15,161040,创业富国定开,1.246,-0.002,-0.16,1360.0,169891.4,1.255,1.256,1.245,1.248,0.21,82539400,82539400,-6.068601583113457,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161040.html
7,501065,汇添富经典成长定开混合,1.1333,07-22,暂停申购,暂停赎回,2028-01-03,10.0,100000000000.0,0.15,501065,经典成长,1.064,-0.005,-0.47,1830.0,194749.0,1.076,1.076,1.047,1.069,1.41,13780502,13780502,-6.114885731933286,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501065.html
8,166027,中欧创业板两年定开混合A,0.8916,07-22,暂停申购,暂停赎回,2026-07-16,10.0,100000000000.0,0.15,166027,中欧创业定开,0.837,0.004,0.48,876.0,73386.4,0.839,0.839,0.836,0.833,0.12,62755559,62755559,-6.123822341857334,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166027.html
9,160726,嘉实瑞享定期混合,0.9975,07-22,暂停申购,暂停赎回,2026-09-14,10.0,100000000000.0,0.15,160726,嘉实瑞享定开,0.936,0.005,0.54,915.0,85589.1,0.933,0.938,0.932,0.931,0.23,36550487,36550487,-6.1654135338345855,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160726.html
