,场外代码,基金简称,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费,场内代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,换手率,流通市值,总市值,溢价率%,买入确认日,卖出确认日,jjfl_url
0,161631,融通人工智能指数(LOF)A,2.3183,08-28,开放申购,开放赎回,,10.0,100000000000.0,0.12,161631,人工智能LOF,2.777,0.197,7.64,104071.0,26647012.004,2.322,2.777,2.322,2.58,40.55,71263141,71263141,19.786050122934924,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161631.html
1,161610,融通领先成长混合(LOF)A,1.542,08-28,开放申购,开放赎回,,10.0,100000000000.0,0.15,161610,融通领先成长LOF,1.655,0.106,6.84,4516.0,723374.681,1.549,1.691,1.526,1.549,0.81,92606366,92606366,7.328145265888455,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161610.html
2,166025,中欧远见两年定开混合A,0.8002,08-28,暂停申购,暂停赎回,2027-04-26,10.0,100000000000.0,0.15,166025,中欧远见定开,0.753,0.003,0.4,4398.0,330723.745,0.752,0.757,0.741,0.75,0.76,43563007,43563007,-5.898525368657838,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166025.html
3,166024,中欧恒利三年定期开放混合,1.201,08-28,暂停申购,暂停赎回,2026-12-01,10.0,100000000000.0,0.15,166024,中欧恒利定开,1.126,0.01,0.9,6880.0,773333.0,1.12,1.126,1.118,1.116,0.8,96752035,96752035,-6.244796003330572,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166024.html
4,166027,中欧创业板两年定开混合A,0.9493,08-28,暂停申购,暂停赎回,2026-07-16,10.0,100000000000.0,0.15,166027,中欧创业定开,0.889,0.011,1.25,3627.0,322942.5,0.878,0.908,0.875,0.878,0.48,66721120,66721120,-6.352048878120723,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166027.html
5,160726,嘉实瑞享定期混合,1.0486,08-28,暂停申购,暂停赎回,2026-09-14,10.0,100000000000.0,0.15,160726,嘉实瑞享定开,0.981,0.01,1.03,8307.0,813892.734,0.973,0.983,0.973,0.971,2.16,37700585,37700585,-6.446690825863055,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160726.html
6,160926,大成创业板两年定开混合A,1.0738,08-28,暂停申购,暂停赎回,2026-08-13,10.0,100000000000.0,0.15,160926,创业板定开,1.002,0.015,1.52,11195.0,1115019.488,0.998,1.003,0.983,0.987,1.47,76345057,76345057,-6.68653380517788,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160926.html
7,160143,南方创业板2年定期开放混合,1.2393,08-28,暂停申购,暂停赎回,2026-09-01,10.0,100000000000.0,0.15,160143,创业板定开南方,1.156,0.037,3.31,10498.0,1193497.982,1.121,1.187,1.121,1.119,4.02,30212556,30212556,-6.721536351165993,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160143.html
8,161040,富国创业板两年定开混合,1.7944,08-28,暂停申购,暂停赎回,2026-08-10,10.0,100000000000.0,0.15,161040,创业富国定开,1.673,0.055,3.4,13134.0,2171413.09,1.629,1.678,1.621,1.618,1.95,112832999,112832999,-6.765492643780649,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161040.html
9,160325,华夏创业板两年定开混合,1.1331,08-28,暂停申购,暂停赎回,2026-08-20,10.0,100000000000.0,0.15,160325,华夏创业板定开,1.052,0.027,2.63,28643.0,2984218.258,1.027,1.054,1.027,1.025,2.63,114517234,114517234,-7.157355926220099,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160325.html
10,161132,易方达科顺定开混合,1.9608,08-28,暂停申购,暂停赎回,2027-12-21,10.0,100000000000.0,0.15,161132,易方达科顺定开,1.817,0.024,1.34,382.0,68727.2,1.793,1.817,1.793,1.793,0.56,12386300,12386300,-7.333741330069367,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161132.html
11,160529,博时创业板两年定开混合,1.2489,08-28,暂停申购,暂停赎回,2026-09-28,10.0,100000000000.0,0.15,160529,创业板博时定开,1.155,0.024,2.12,19925.0,2287421.329,1.126,1.16,1.126,1.131,5.39,42713861,42713861,-7.518616382416517,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160529.html
12,161914,万家创业板2年定期开放混合A,0.8057,08-28,暂停申购,暂停赎回,2026-10-08,10.0,100000000000.0,0.15,161914,创业板2年定开,0.739,-0.004,-0.54,17936.0,1323480.198,0.743,0.743,0.732,0.743,1.09,122103612,122103612,-8.278515576517313,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161914.html
13,501065,汇添富经典成长定开混合,1.3002,08-28,暂停申购,暂停赎回,2028-01-03,10.0,100000000000.0,0.15,501065,经典成长,1.191,0.022,1.88,1652.0,196435.0,1.172,1.196,1.172,1.169,1.28,15425356,15425356,-8.398707891093675,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501065.html
