,场外代码,基金简称,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费,场内代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,换手率,流通市值,总市值,溢价率%,买入确认日,卖出确认日,jjfl_url
0,160723,嘉实原油(QDII-LOF),1.557,06-19,限大额,开放赎回,,10.0,100.0,0.12,160723,嘉实原油LOF,1.826,0.166,10.0,7810192.0,1380786478.909,1.76,1.826,1.713,1.66,,214442476,214442476,17.276814386640986,T+2,T+2,https://fundf10.eastmoney.com/jjfl_160723.html
1,161015,富国天盈债券(LOF)C,1.2896,06-20,开放申购,开放赎回,,10.0,100000000000.0,0.0,161015,富国天盈LOF,1.437,0.131,10.03,3231.0,456002.99,1.294,1.437,1.286,1.306,2.89,16083158,16083158,11.429900744416871,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161015.html
2,163907,中海惠裕纯债发起式,0.827,06-20,开放申购,开放赎回,,10.0,100000000000.0,0.06,163907,中海惠裕LOF,0.919,-0.009,-0.97,476.0,42759.99,0.922,0.922,0.854,0.928,5.2,841646,841646,11.124546553808958,T+1,T+1,https://fundf10.eastmoney.com/jjfl_163907.html
3,501018,南方原油A,1.343,06-19,限大额,开放赎回,,10.0,1000.0,0.12,501018,南方原油LOF,1.461,0.121,9.03,5347669.0,756808874.0,1.407,1.462,1.38,1.34,,299455910,299455910,8.786299329858533,T+2,T+2,https://fundf10.eastmoney.com/jjfl_501018.html
4,501037,汇添富中证500指数(LOF)C,1.0593,06-20,开放申购,开放赎回,,10.0,100000000000.0,0.0,501037,中证500LOFC,1.131,0.066,6.2,20.0,2180.0,1.061,1.131,1.061,1.065,0.07,3199373,3199373,6.768620787312386,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501037.html
5,160143,南方创业板2年定期开放混合,0.9144,06-20,暂停申购,暂停赎回,2026-09-01,10.0,100000000000.0,0.15,160143,创业板定开南方,0.868,-0.007,-0.8,639.0,55465.2,0.868,0.868,0.868,0.875,0.25,22574744,22574744,-5.074365704286963,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160143.html
6,160726,嘉实瑞享定期混合,0.9444,06-20,暂停申购,暂停赎回,2026-09-14,10.0,100000000000.0,0.15,160726,嘉实瑞享定开,0.893,-0.002,-0.22,216.0,19288.193,0.892,0.893,0.892,0.895,0.06,34871352,34871352,-5.442609063955951,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160726.html
7,166024,中欧恒利三年定期开放混合,0.9837,06-20,暂停申购,暂停赎回,2026-12-01,10.0,100000000000.0,0.15,166024,中欧恒利定开,0.927,0.002,0.22,242.0,22409.0,0.925,0.929,0.925,0.925,0.03,79652875,79652875,-5.763952424519668,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166024.html
8,160926,大成创业板两年定开混合A,0.8377,06-20,暂停申购,暂停赎回,2026-08-13,10.0,100000000000.0,0.15,160926,创业板定开,0.789,-0.006,-0.75,2554.0,201510.6,0.789,0.789,0.789,0.795,0.33,60741219,60741219,-5.813537065775333,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160926.html
9,161040,富国创业板两年定开混合,1.1498,06-20,暂停申购,暂停赎回,2026-08-10,10.0,100000000000.0,0.15,161040,创业富国定开,1.082,-0.005,-0.46,1210.0,131122.0,1.087,1.087,1.082,1.087,0.18,71031361,71031361,-5.896677683075305,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161040.html
