,场外代码,基金简称,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费,场内代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,换手率,流通市值,总市值,溢价率%,买入确认日,卖出确认日,jjfl_url
0,501070,广发睿阳三年定开混合,1.1341,09-18,暂停申购,暂停赎回,2028-03-06,10.0,100000000000.0,0.15,501070,广发睿阳,1.075,-0.006,-0.56,893.0,95840.0,1.075,1.075,1.071,1.081,0.62,15429905,15429905,-5.211180671898434,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501070.html
1,166024,中欧恒利三年定期开放混合,1.1641,09-18,暂停申购,暂停赎回,2026-12-01,10.0,100000000000.0,0.15,166024,中欧恒利定开,1.101,0.005,0.46,1277.0,140199.8,1.098,1.102,1.094,1.096,0.15,94603900,94603900,-5.420496520917442,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166024.html
2,161132,易方达科顺定开混合,2.0808,09-18,暂停申购,暂停赎回,2027-12-21,10.0,100000000000.0,0.15,161132,易方达科顺定开,1.967,-0.013,-0.66,895.0,174138.9,1.942,1.976,1.923,1.98,1.31,13409228,13409228,-5.469050365244133,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161132.html
3,501046,财通多策略福鑫定开混合,4.0973,09-18,暂停申购,暂停赎回,2026-11-09,10.0,100000000000.0,0.15,501046,财通福鑫定开混合,3.87,0.04,1.04,19254.0,7432536.0,3.889,3.889,3.829,3.83,11.72,63599967,63599967,-5.547555707417071,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501046.html
4,501038,银华明择多策略定期开放混合,2.0361,09-18,暂停申购,暂停赎回,2026-10-15,10.0,100000000000.0,0.15,501038,银华明择,1.915,0.017,0.9,40.0,7636.0,1.929,1.929,1.89,1.898,0.04,19285391,19285391,-5.947645007612581,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501038.html
5,160726,嘉实瑞享定期混合,1.0353,09-18,暂停申购,暂停赎回,2026-09-14,10.0,100000000000.0,0.15,160726,嘉实瑞享定开,0.968,0.0,0.0,393.0,38056.2,0.97,0.972,0.968,0.968,0.1,37370362,37370362,-6.500531246981564,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160726.html
6,166025,中欧远见两年定开混合A,0.7992,09-18,暂停申购,暂停赎回,2027-04-26,10.0,100000000000.0,0.15,166025,中欧远见定开,0.74,0.004,0.54,1302.0,96090.0,0.738,0.745,0.736,0.736,0.22,43303931,43303931,-7.407407407407411,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166025.html
7,166027,中欧创业板两年定开混合A,0.9838,09-18,暂停申购,暂停赎回,2026-07-16,10.0,100000000000.0,0.15,166027,中欧创业定开,0.903,-0.007,-0.77,2120.0,191781.2,0.912,0.912,0.903,0.91,0.28,67925424,67925424,-8.213051433218133,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166027.html
8,161040,富国创业板两年定开混合,1.7528,09-18,暂停申购,暂停赎回,2026-08-10,10.0,100000000000.0,0.15,161040,创业富国定开,1.603,-0.001,-0.06,8758.0,1403447.592,1.604,1.614,1.591,1.604,1.27,110835437,110835437,-8.546325878594246,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161040.html
9,160926,大成创业板两年定开混合A,1.1066,09-18,暂停申购,暂停赎回,2026-08-13,10.0,100000000000.0,0.15,160926,创业板定开,1.0,-0.004,-0.4,1373.0,136941.5,1.007,1.007,0.991,1.004,0.18,76306956,76306956,-9.633110428339059,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160926.html
