,场外代码,基金简称,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费,场内代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,换手率,流通市值,总市值,溢价率%,买入确认日,卖出确认日,jjfl_url
0,501070,广发睿阳三年定开混合,1.161,09-24,暂停申购,暂停赎回,2028-03-06,10.0,100000000000.0,0.15,501070,广发睿阳,1.098,0.008,0.73,416.0,45353.0,1.09,1.099,1.09,1.09,0.29,16023553,16023553,-5.426356589147282,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501070.html
1,501046,财通多策略福鑫定开混合,4.1251,09-24,暂停申购,暂停赎回,2026-11-09,10.0,100000000000.0,0.15,501046,财通福鑫定开混合,3.887,-0.007,-0.18,16793.0,6522541.0,3.831,3.928,3.82,3.894,10.22,63879347,63879347,-5.771981285302169,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501046.html
2,501065,汇添富经典成长定开混合,1.3912,09-24,暂停申购,暂停赎回,2028-01-03,10.0,100000000000.0,0.15,501065,经典成长,1.308,0.024,1.87,2199.0,281065.0,1.284,1.308,1.265,1.284,1.7,16940693,16940693,-5.980448533640019,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501065.html
3,166024,中欧恒利三年定期开放混合,1.1878,09-24,暂停申购,暂停赎回,2026-12-01,10.0,100000000000.0,0.15,166024,中欧恒利定开,1.11,0.004,0.36,2204.0,244111.509,1.105,1.113,1.103,1.106,0.26,95377228,95377228,-6.549924229668283,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166024.html
4,501038,银华明择多策略定期开放混合,2.0533,09-24,暂停申购,暂停赎回,2026-10-15,10.0,100000000000.0,0.15,501038,银华明择,1.908,0.011,0.58,1192.0,226373.0,1.897,1.909,1.896,1.897,1.18,19219284,19219284,-7.076413578142512,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501038.html
5,161132,易方达科顺定开混合,2.1901,09-24,暂停申购,暂停赎回,2027-12-21,10.0,100000000000.0,0.15,161132,易方达科顺定开,2.032,0.012,0.59,870.0,175973.9,2.02,2.038,1.983,2.02,1.28,13852339,13852339,-7.21884845440848,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161132.html
6,160726,嘉实瑞享定期混合,1.0658,09-24,暂停申购,暂停赎回,2026-09-14,10.0,100000000000.0,0.15,160726,嘉实瑞享定开,0.987,-0.001,-0.1,1685.0,166896.0,0.991,0.997,0.981,0.988,0.44,38103871,38103871,-7.393507224620012,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160726.html
7,166025,中欧远见两年定开混合A,0.7957,09-24,暂停申购,暂停赎回,2027-04-26,10.0,100000000000.0,0.15,166025,中欧远见定开,0.734,-0.003,-0.41,4663.0,342251.002,0.736,0.736,0.733,0.737,0.8,42952818,42952818,-7.754178710569308,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166025.html
8,166027,中欧创业板两年定开混合A,0.9826,09-24,暂停申购,暂停赎回,2026-07-16,10.0,100000000000.0,0.15,166027,中欧创业定开,0.904,0.007,0.78,570.0,51462.1,0.899,0.908,0.897,0.897,0.08,67990702,67990702,-7.999185833502952,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166027.html
9,161040,富国创业板两年定开混合,1.7628,09-24,暂停申购,暂停赎回,2026-08-10,10.0,100000000000.0,0.15,161040,创业富国定开,1.616,0.016,1.0,11782.0,1896349.244,1.593,1.624,1.592,1.6,1.7,111734290,111734290,-8.32766054004991,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161040.html
10,161912,万家社会责任18个月定开A,3.4183,09-24,暂停申购,暂停赎回,2027-01-15,10.0,1000.0,0.15,161912,社会责任定开,3.132,0.052,1.69,16227.0,5047328.396,3.05,3.143,3.05,3.08,3.01,168837413,168837413,-8.375508293596226,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161912.html
11,161040,富国创业板两年定开混合,1.7628,09-24,暂停申购,暂停赎回,2026-08-10,10.0,100000000000.0,0.15,161040,创业富国定开,1.614,0.014,0.88,12422.0,1999659.244,1.593,1.624,1.592,1.6,1.8,111596005,111596005,-8.441116405718166,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161040.html
12,160325,华夏创业板两年定开混合,1.2525,09-24,暂停申购,暂停赎回,2026-08-20,10.0,100000000000.0,0.15,160325,华夏创业板定开,1.138,0.024,2.15,12116.0,1371253.332,1.113,1.138,1.113,1.114,1.1,125470240,125470240,-9.141716566866272,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160325.html
13,160926,大成创业板两年定开混合A,1.118,09-24,暂停申购,暂停赎回,2026-08-13,10.0,100000000000.0,0.15,160926,创业板定开,1.015,0.006,0.59,6229.0,630992.897,1.001,1.015,1.001,1.009,0.82,77451560,77451560,-9.212880143112718,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160926.html
14,160529,博时创业板两年定开混合,1.3955,09-24,暂停申购,暂停赎回,2026-09-28,10.0,100000000000.0,0.15,160529,创业板博时定开,1.265,0.026,2.1,3763.0,471987.679,1.239,1.27,1.239,1.239,1.02,46892175,46892175,-9.351486922250093,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160529.html
15,160143,南方创业板2年定期开放混合,1.3314,09-24,暂停申购,暂停赎回,2026-09-01,10.0,100000000000.0,0.15,160143,创业板定开南方,1.205,0.008,0.67,987.0,119063.8,1.198,1.21,1.182,1.197,0.37,32235541,32235541,-9.493765960642921,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160143.html
16,161914,万家创业板2年定期开放混合A,0.8122,09-24,暂停申购,暂停赎回,2026-10-08,10.0,100000000000.0,0.15,161914,创业板2年定开,0.73,0.006,0.83,6081.0,443740.975,0.726,0.733,0.724,0.724,0.37,120673692,120673692,-10.120659935976366,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161914.html
17,162720,广发创业板两年定开混合,1.2482,09-24,暂停申购,暂停赎回,2026-10-29,10.0,100000000000.0,0.15,162720,广发创业板定开,1.116,0.009,0.81,19442.0,2164224.51,1.098,1.12,1.082,1.107,1.33,162991031,162991031,-10.591251402018898,T+1,T+1,https://fundf10.eastmoney.com/jjfl_162720.html
18,506006,汇添富科创板2年定开混合,1.1431,09-24,暂停申购,暂停赎回,2026-08-24,10.0,100000000000.0,0.15,506006,汇添富科创板,1.014,0.013,1.3,32078.0,3221969.0,1.0,1.014,0.993,1.001,1.44,225277034,225277034,-11.293850056862915,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506006.html
19,506002,易方达科创板两年定开混合,1.5443,09-24,暂停申购,暂停赎回,2026-09-28,10.0,100000000000.0,0.15,506002,易方达科创板,1.366,0.01,0.74,51546.0,7014067.0,1.356,1.369,1.346,1.356,2.35,299867462,299867462,-11.545684128731457,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506002.html
20,506001,万家科创板2年定开混合,1.4233,09-24,暂停申购,暂停赎回,2026-08-31,10.0,100000000000.0,0.15,506001,万家科创板,1.239,0.01,0.81,15660.0,1930323.0,1.22,1.24,1.22,1.229,1.42,136424060,136424060,-12.948781001896995,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506001.html
21,506003,富国科创板两年定开混合,1.0237,09-24,暂停申购,暂停赎回,2026-08-24,10.0,100000000000.0,0.15,506003,富国科创板,0.89,0.004,0.45,11751.0,1048888.0,0.887,0.897,0.88,0.886,0.52,199214218,199214218,-13.060466933671977,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506003.html
22,506005,博时科创板三年定开混合,1.3659,09-24,暂停申购,暂停赎回,2026-08-10,10.0,100000000000.0,0.15,506005,科创板博时,1.185,0.012,1.02,151493.0,17871808.0,1.167,1.188,1.162,1.173,1.98,904777002,904777002,-13.244014935207545,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506005.html
23,506000,南方科创板3年定开混合,1.1269,09-24,暂停申购,暂停赎回,2026-08-25,10.0,100000000000.0,0.15,506000,科创板基金,0.969,0.019,2.0,286490.0,27342002.0,0.945,0.972,0.939,0.95,3.65,759910932,759910932,-14.011891028485229,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506000.html
