,场外代码,基金简称,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费,场内代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,换手率,流通市值,总市值,溢价率%,买入确认日,卖出确认日,jjfl_url
0,501098,建信优享科技创新混合(LOF),1.2998,07-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,501098,科创建信LOF,1.367,-0.003,-0.22,2351.0,310667.0,1.5,1.5,1.27,1.37,6.48,4955785,4955785,5.170026157870436,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501098.html
1,161914,万家创业板2年定期开放混合A,0.7068,07-31,暂停申购,暂停赎回,2026-10-08,10.0,100000000000.0,0.15,161914,创业板2年定开,0.667,0.008,1.21,6030.0,400692.82,0.656,0.668,0.656,0.659,0.37,108215940,108215940,-5.63101301641199,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161914.html
2,166027,中欧创业板两年定开混合A,0.892,07-31,暂停申购,暂停赎回,2026-07-16,10.0,100000000000.0,0.15,166027,中欧创业定开,0.841,-0.003,-0.36,1731.0,145154.1,0.84,0.842,0.836,0.844,0.23,63056292,63056292,-5.717488789237673,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166027.html
3,501046,财通多策略福鑫定开混合,2.7442,07-31,暂停申购,暂停赎回,2026-11-09,10.0,100000000000.0,0.15,501046,财通福鑫定开混合,2.582,-0.043,-1.64,6554.0,1687359.0,2.559,2.624,2.53,2.625,4.16,40681734,40681734,-5.910647911959782,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501046.html
4,160529,博时创业板两年定开混合,1.0522,07-31,暂停申购,暂停赎回,2026-09-28,10.0,100000000000.0,0.15,160529,创业板博时定开,0.99,0.001,0.1,511.0,50252.1,0.985,0.997,0.978,0.989,0.14,36660406,36660406,-5.911423683710324,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160529.html
5,160726,嘉实瑞享定期混合,0.9946,07-31,暂停申购,暂停赎回,2026-09-14,10.0,100000000000.0,0.15,160726,嘉实瑞享定开,0.934,-0.007,-0.74,685.0,63989.5,0.925,0.938,0.924,0.941,0.18,36492710,36492710,-6.092901669012667,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160726.html
6,160926,大成创业板两年定开混合A,0.9458,07-31,暂停申购,暂停赎回,2026-08-13,10.0,100000000000.0,0.15,160926,创业板定开,0.888,0.002,0.23,10124.0,896184.585,0.889,0.891,0.884,0.886,1.33,67523141,67523141,-6.111228589553813,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160926.html
7,161912,万家社会责任18个月定开A,2.3329,07-31,暂停申购,暂停赎回,2027-01-15,10.0,1000.0,0.15,161912,社会责任定开,2.189,-0.034,-1.53,5813.0,1275796.912,2.222,2.239,2.149,2.223,1.13,112442678,112442678,-6.168288396416474,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161912.html
8,166024,中欧恒利三年定期开放混合,1.0829,07-31,暂停申购,暂停赎回,2026-12-01,10.0,100000000000.0,0.15,166024,中欧恒利定开,1.014,-0.006,-0.59,4198.0,424781.7,1.009,1.021,1.006,1.02,0.49,87128387,87128387,-6.3625450180072,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166024.html
9,160325,华夏创业板两年定开混合,0.9487,07-31,暂停申购,暂停赎回,2026-08-20,10.0,100000000000.0,0.15,160325,华夏创业板定开,0.888,-0.002,-0.22,1691.0,150069.582,0.903,0.903,0.882,0.89,0.16,95886928,95886928,-6.398229155686727,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160325.html
10,161132,易方达科顺定开混合,1.7738,07-31,暂停申购,暂停赎回,2027-12-21,10.0,100000000000.0,0.15,161132,易方达科顺定开,1.66,0.002,0.12,523.0,86883.9,1.663,1.668,1.66,1.658,0.77,11316047,11316047,-6.415604915999555,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161132.html
11,160143,南方创业板2年定期开放混合,1.0354,07-31,暂停申购,暂停赎回,2026-09-01,10.0,100000000000.0,0.15,160143,创业板定开南方,0.967,0.002,0.21,1588.0,153733.8,0.969,0.976,0.958,0.965,0.61,25244280,25244280,-6.606142553602484,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160143.html
