,场外代码,基金简称,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费,场内代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,换手率,流通市值,总市值,溢价率%,买入确认日,卖出确认日,jjfl_url
0,160324,华夏磐晟混合(LOF),1.9839,09-30,开放申购,开放赎回,,10.0,100000000000.0,0.12,160324,华夏磐晟LOF,2.201,0.2,10.0,6176.0,1341224.181,2.047,2.201,2.045,2.001,18.02,7545241,7545241,10.943091889712186,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160324.html
1,501312,华宝海外科技股票(QDII-LOF)A,1.9912,09-29,限大额,开放赎回,,10.0,500.0,0.12,501312,海外科技LOF,2.147,0.128,6.34,350553.0,74463486.0,2.111,2.153,2.1,2.019,16.84,446935837,446935837,7.8244274809160155,T+2,T+2,https://fundf10.eastmoney.com/jjfl_501312.html
2,501225,景顺长城全球半导体芯片股票A(QDII-LOF)(人民币),1.8611,09-29,限大额,开放赎回,,10.0,1000.0,0.15,501225,全球芯片LOF,2.004,0.118,6.26,67672.0,13468333.0,1.968,2.004,1.964,1.886,8.25,164297339,164297339,7.678254795551019,T+2,T+2,https://fundf10.eastmoney.com/jjfl_501225.html
3,161217,国投瑞银中证资源指数(LOF)A,1.862,09-30,开放申购,开放赎回,,10.0,100000000000.0,0.12,161217,国投资源LOF,2.003,0.163,8.86,2148.0,420453.908,1.86,2.011,1.86,1.84,6.32,6811276,6811276,7.572502685284641,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161217.html
4,160221,国泰国证有色金属行业指数(LOF)A,2.0074,09-30,开放申购,开放赎回,,10.0,100000000000.0,0.0,160221,有色金属LOF,2.157,0.16,8.01,9500.0,2008298.632,2.1,2.158,2.074,1.997,3.88,52767474,52767474,7.452426023712262,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160221.html
5,165520,中信保诚中证800有色指数(LOF)A,2.5015,09-30,开放申购,开放赎回,,10.0,100000000000.0,0.12,165520,有色LOF,2.681,0.195,7.84,6389.0,1703610.447,2.7,2.7,2.6,2.486,6.61,25912742,25912742,7.17569458325005,T+1,T+1,https://fundf10.eastmoney.com/jjfl_165520.html
6,160216,国泰大宗商品(QDII-LOF)A,0.623,09-29,限大额,开放赎回,,10.0,300000.0,0.15,160216,国泰商品LOF,0.655,0.024,3.8,159486.0,10465401.159,0.665,0.665,0.641,0.631,27.88,37464360,37464360,5.136436597110759,T+2,T+2,https://fundf10.eastmoney.com/jjfl_160216.html
7,160726,嘉实瑞享定期混合,1.0897,09-30,暂停申购,暂停赎回,2026-09-14,10.0,100000000000.0,0.15,160726,嘉实瑞享定开,1.028,0.012,1.18,1951.0,199163.95,1.01,1.029,1.01,1.016,0.5,39923065,39923065,-5.662108837294657,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160726.html
8,501038,银华明择多策略定期开放混合,2.0199,09-30,暂停申购,暂停赎回,2026-10-15,10.0,100000000000.0,0.15,501038,银华明择,1.9,-0.009,-0.47,408.0,77271.0,1.893,1.909,1.883,1.909,0.4,19324520,19324520,-5.93593742264468,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501038.html
9,161912,万家社会责任18个月定开A,3.4505,09-30,暂停申购,暂停赎回,2027-01-15,10.0,1000.0,0.15,161912,社会责任定开,3.243,0.052,1.63,17068.0,5514805.1,3.193,3.262,3.193,3.191,3.16,175038856,175038856,-6.013621214316767,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161912.html
