,场外代码,基金简称,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费,场内代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,换手率,流通市值,总市值,溢价率%,买入确认日,卖出确认日,jjfl_url
0,161226,国投瑞银白银期货(LOF)A,2.5145,03-10,暂停申购,开放赎回,,10.0,100.0,0.1,161226,国投白银LOF,3.336,-0.053,-1.56,2017608.0,675207094.684,3.355,3.386,3.305,3.389,5.53,12166683753,12166683753,32.67051103599125,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161226.html
1,501225,景顺长城全球半导体芯片股票A(QDII-LOF)(人民币),2.1464,03-09,暂停申购,开放赎回,,10.0,100.0,0.15,501225,全球芯片LOF,2.41,-0.02,-0.82,61605.0,14888134.0,2.44,2.443,2.401,2.43,3.37,440379782,440379782,12.281028699217309,T+2,T+2,https://fundf10.eastmoney.com/jjfl_501225.html
2,163116,申万中证申万电子行业投资指数(LOF)A,1.5237,03-10,开放申购,开放赎回,,10.0,100000000000.0,0.12,163116,申万电子LOF,1.661,0.151,10.0,1739.0,267932.926,1.516,1.661,1.478,1.51,4.57,6324425,6324425,9.010960162761696,T+1,T+1,https://fundf10.eastmoney.com/jjfl_163116.html
3,160416,华安标普全球石油指数(LOF)A,2.0564,03-09,暂停申购,开放赎回,,10.0,2.0,0.12,160416,石油基金LOF,2.234,-0.037,-1.63,1375843.0,310293704.725,2.221,2.291,2.221,2.271,80.99,379518200,379518200,8.636452052129934,T+2,T+2,https://fundf10.eastmoney.com/jjfl_160416.html
4,501070,广发睿阳三年定开混合,1.3459,03-10,暂停申购,暂停赎回,2028-03-06,10.0,100000000000.0,0.15,501070,广发睿阳,1.275,0.012,0.95,1320.0,167519.0,1.263,1.275,1.26,1.263,0.79,21416303,21416303,-5.26785050895313,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501070.html
5,501065,汇添富经典成长定开混合,1.3502,03-10,暂停申购,暂停赎回,2028-01-03,10.0,100000000000.0,0.15,501065,经典成长,1.274,0.003,0.24,642.0,81277.0,1.263,1.276,1.263,1.271,0.49,16639332,16639332,-5.643608354317882,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501065.html
6,501046,财通多策略福鑫定开混合,4.848,03-10,暂停申购,暂停赎回,2026-11-09,10.0,100000000000.0,0.15,501046,财通福鑫定开混合,4.567,-0.021,-0.46,7073.0,3251020.0,4.59,4.647,4.55,4.588,4.24,76241498,76241498,-5.79620462046204,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501046.html
7,161914,万家创业板2年定期开放混合A,0.8361,03-10,暂停申购,暂停赎回,2026-10-08,10.0,100000000000.0,0.15,161914,创业板2年定开,0.785,0.007,0.9,3755.0,295599.0,0.778,0.794,0.778,0.778,0.23,130932479,130932479,-6.111709125702658,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161914.html
8,162720,广发创业板两年定开混合,1.3012,03-10,暂停申购,暂停赎回,2026-10-29,10.0,100000000000.0,0.15,162720,广发创业板定开,1.218,0.019,1.58,10359.0,1263015.144,1.204,1.223,1.204,1.199,0.71,177907260,177907260,-6.394097755917611,T+1,T+1,https://fundf10.eastmoney.com/jjfl_162720.html
9,506002,易方达科创板两年定开混合,1.7021,03-10,暂停申购,暂停赎回,2026-09-28,10.0,100000000000.0,0.15,506002,易方达科创板,1.586,0.005,0.32,30155.0,4809409.0,1.601,1.607,1.583,1.581,1.34,356315994,356315994,-6.820985841019909,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506002.html
10,161132,易方达科顺定开混合,2.6225,03-10,暂停申购,暂停赎回,2027-12-21,10.0,100000000000.0,0.15,161132,易方达科顺定开,2.443,-0.012,-0.49,929.0,226969.7,2.458,2.467,2.43,2.455,1.36,16659936,16659936,-6.844613918017159,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161132.html
11,506005,博时科创板三年定开混合,1.4543,03-10,暂停申购,暂停赎回,2026-08-10,10.0,100000000000.0,0.15,506005,科创板博时,1.352,-0.008,-0.59,46921.0,6388788.0,1.365,1.371,1.352,1.36,0.61,1040725795,1040725795,-7.034312040156765,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506005.html
12,506001,万家科创板2年定开混合,1.376,03-10,暂停申购,暂停赎回,2026-08-31,10.0,100000000000.0,0.15,506001,万家科创板,1.276,-0.006,-0.47,5645.0,724724.0,1.282,1.291,1.275,1.282,0.51,140700820,140700820,-7.267441860465107,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506001.html
13,506003,富国科创板两年定开混合,1.0095,03-10,暂停申购,暂停赎回,2026-08-24,10.0,100000000000.0,0.15,506003,富国科创板,0.933,-0.005,-0.53,6477.0,606178.0,0.94,0.941,0.93,0.938,0.29,212003631,212003631,-7.578008915304607,T+1,T+1,https://fundf10.eastmoney.com/jjfl_506003.html
