,场外代码,基金简称,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费,场内代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,换手率,流通市值,总市值,溢价率%,买入确认日,卖出确认日,jjfl_url
0,502003,易方达中证军工(LOF)A,1.422,07-28,开放申购,开放赎回,,10.0,99999999999.0,0.1,502003,军工LOF,1.555,0.141,9.97,30911.0,4666700.0,1.415,1.555,1.415,1.414,19.23,24996936,24996936,9.353023909985936,T+1,T+1,https://fundf10.eastmoney.com/jjfl_502003.html
1,163821,中银沪深300等权重指数,1.878,07-28,开放申购,开放赎回,,10.0,100000000000.0,0.12,163821,沪深300等权LOF,2.047,0.186,9.99,346.0,66706.094,1.867,2.047,1.861,1.861,6.77,1045874,1045874,8.99893503727371,T+1,T+1,https://fundf10.eastmoney.com/jjfl_163821.html
2,161040,富国创业板两年定开混合,1.3547,07-28,暂停申购,暂停赎回,2026-08-10,10.0,100000000000.0,0.15,161040,创业富国定开,1.279,0.019,1.51,14469.0,1839672.0,1.261,1.279,1.261,1.26,2.16,85487634,85487634,-5.587953052336318,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161040.html
3,166027,中欧创业板两年定开混合A,0.9067,07-28,暂停申购,暂停赎回,2026-07-16,10.0,100000000000.0,0.15,166027,中欧创业定开,0.855,0.008,0.94,2281.0,194158.0,0.85,0.855,0.847,0.847,0.3,64105981,64105981,-5.701996250137859,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166027.html
4,162720,广发创业板两年定开混合,0.9786,07-28,暂停申购,暂停赎回,2026-10-29,10.0,100000000000.0,0.15,162720,广发创业板定开,0.922,0.02,2.22,14366.0,1307534.96,0.902,0.923,0.9,0.902,0.98,134616056,134616056,-5.783772736562434,T+1,T+1,https://fundf10.eastmoney.com/jjfl_162720.html
5,160325,华夏创业板两年定开混合,0.9573,07-28,暂停申购,暂停赎回,2026-08-20,10.0,100000000000.0,0.15,160325,华夏创业板定开,0.901,0.01,1.12,4980.0,446766.716,0.891,0.901,0.891,0.891,0.46,97290678,97290678,-5.881123994568058,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160325.html
6,160726,嘉实瑞享定期混合,1.0055,07-28,暂停申购,暂停赎回,2026-09-14,10.0,100000000000.0,0.15,160726,嘉实瑞享定开,0.945,-0.004,-0.42,444.0,41972.9,0.956,0.956,0.942,0.949,0.11,36922496,36922496,-6.016907011437107,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160726.html
7,161132,易方达科顺定开混合,1.7973,07-28,暂停申购,暂停赎回,2027-12-21,10.0,100000000000.0,0.15,161132,易方达科顺定开,1.689,0.0,0.0,506.0,85872.9,1.69,1.698,1.689,1.689,0.74,11513568,11513568,-6.025705224503413,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161132.html
8,161914,万家创业板2年定期开放混合A,0.7104,07-28,暂停申购,暂停赎回,2026-10-08,10.0,100000000000.0,0.15,161914,创业板2年定开,0.667,0.003,0.45,3363.0,223361.2,0.66,0.67,0.66,0.664,0.21,108215940,108215940,-6.109234234234233,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161914.html
9,160926,大成创业板两年定开混合A,0.9537,07-28,暂停申购,暂停赎回,2026-08-13,10.0,100000000000.0,0.15,160926,创业板定开,0.893,0.004,0.45,711.0,63188.5,0.889,0.895,0.886,0.889,0.09,67903339,67903339,-6.3646849113977115,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160926.html
